,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
206,Simunye Mill,Bioenergy,,PP,SZ,17.0,,,0.0,0.0,0.0,2012.0,2012.0,2032.0,-26.1778,31.9073,{nan},{'GPD': {'WRI1023190'}},1542
208,Sua Pan Soda Ash,Hard Coal,,PP,BW,14.0,,,0.0,0.0,0.0,1986.0,1986.0,2031.0,-21.1667,27.5167,{nan},{'GPD': {'WRI1023018'}},2426
209,Tegeta,CCGT,CCGT,PP,TZ,45.0,,,0.0,0.0,0.0,2012.5,2012.5,2052.5,-6.6741,39.1843,{nan},{'GPD': {'WRI1019873'}},184
210,Ubungo Gas Songas,CCGT,CCGT,PP,TZ,207.5,,,0.0,0.0,0.0,2012.5,2012.5,2052.5,-6.7945,39.2086,{nan},{'GPD': {'WRI1019872'}},147
213,Xitoto,Oil,,PP,AO,11.34,,,0.0,0.0,0.0,1979.0,1979.0,2019.0,-15.3333,15.0,{nan},{'GPD': {'WRI1023014'}},25
214,Simunye Sugar Cogeneration,Bioenergy,Steam Turbine,PP,SZ,47.0,,,0.0,0.0,0.0,2012.0,2012.0,2032.0,-26.1766,31.9079,{nan},{'GBPT': {'G200010'}},1542
215,Karpowership Mozambique Mehmet Bey,CCGT,CCGT,PP,MZ,125.0,,,0.0,0.0,0.0,2018.0,2018.0,2058.0,-14.554565,40.666173,{nan},{'GGPT': {'L407152'}},1212
216,Kinyerezi,CCGT,CCGT,PP,TZ,240.0,,,0.0,0.0,0.0,2018.0,2018.0,2058.0,-6.857982,39.150713,{nan},{'GGPT': {'L406824'}},185
217,Maputo,CCGT,CCGT,PP,MZ,121.0,,,0.0,0.0,0.0,2018.0,2018.0,2058.0,-25.9393,32.530062,{nan},{'GGPT': {'L406766'}},1172
218,Secunda,CCGT,CCGT,PP,ZA,280.0,,,0.0,0.0,0.0,2011.0,2011.0,2051.0,-26.5601173,29.1686447,{nan},{'GGPT': {'L406820'}},624
219,Soyo,CCGT,CCGT,PP,AO,720.0,,,0.0,0.0,0.0,2017.0,2017.0,2057.0,-6.181824,12.325453,"{nan, nan}",{'GGPT': {'L406736'}},30
